Serial-number, Stations,               Category,  Transmitter,  Fequency, Studio
77,     JAGDALPUR,                 ,         100 KW MW ,                         756 khz  ,   TYPE I
78,    RAIGARH,                LRS,         6 KW FM    ,                      100.7 Mhz   ,  MP
79,     RAIPUR,                   ,          100 KW MW ,                         981 khz  ,   TYPE I  Uplink NoP RNU
80,     SARAIPALLI,             LRS,         1 KW FM   ,                       102.8 Mhz  ,   MP
81,     MANINDRAGARH,           LPT RELAY,   100 W FM  ,                   100.1MHz,
82,     KONTA,                  LPT RELAY,   100 W FM  ,                   100.1MHz,
83,     KHAROD,                 LPT RELAY,   100 W FM  ,                   100.1MHz,
84,     KORBA,                  LPT RELAY,   100 W FM  ,                   100.1MHz,
85,     PANDARIA,               LPT RELAY,   100 W FM  ,                   100.1MHz,
86,     KANKER,                 LPT RELAY,   100 W FM  ,                   100.1MHz,
87,     DONGARGARH,             LPT RELAY,   100 W FM  ,                   100.1MHz,
88,     DELHI [1],                       ,   200 KW MW 'A' ,                      819 khz, TYPE IV Plus UPLINK
89,     PANAJI,                          ,           100 KW MW ,                         1287 khz, TYPE III RNU
90,     AHMEDABAD,                       ,           200 KW MW ,                          846 khz, TYPE IVUplinkNews on Phone RNU
91,     AHWA,                            ,           1 kW MW   ,                         1485 khz,   MP
92,     BHUJ,                            ,           20 kW MW  ,                         1314 khz,   TYPE II RNU
93,     GODHRA,                         LRS,         6 KW FM   ,                        102.2 Mhz,   MP
94,     RAJKOT,                            ,         300 KW MW ,                          810 khz,   TYPE III
95,    SURAT,                          LRS,         10 KW FM VB,                     101.1 Mhz,    MP
96,    VADODRA,                        VB EXCL,    10 KW FM    ,                      93.9 Mhz,    TYPE II & STEREO
97,    HIMMATNAGAR,                    LRS,         1 kW MW    ,                       1584 khz,    MP
98,    MEHSANA,                        LPT RELAY,   100 W FM   ,                      100.1 Mhz,
99,    BHAVNAGAR,                      LPT RELAY,   100 W FM   ,                      100.1 Mhz,
100,    BHARUCH,                        LPT RELAY,   100 W FM  ,                       100.1 Mhz,
101,    JAMNAGAR,                       LPT RELAY,   100 W FM  ,                       100.1 Mhz,
102,    PORBANDAR,                      LPT RELAY,   100 W FM  ,                       100.1 Mhz,
103,    DWARKA,                         LPT RELAY,   100 W FM  ,                       100.1 Mhz,
104,    JUNAGARH,                       RELAY,       10 kW FM  ,                      101.7 MHz,    Playback with Voiceover recording & field
105,    HISSAR,                         LRS,         6 KW FM   ,                        102.3 Mhz,   MP
106,    KURUKSHETRA,                    LRS,         10 KW FM  ,                        101.4 Mhz,   MP
107,    ROHTAK,                            ,         20 kW MW  ,                         1143 khz,   TYPE III UPLINK
108,    SIRSA,                          LPT RELAY,   100 W FM  ,                         101 MHz,
109,    AMBALA,                         LPT RELAY,   100 W FM  ,                         101 MHz,
110,    BHARMOUR,                       LPT RELAY,   100 W FM  ,                        101.3 Mhz,
